RefNum,agerange,age,job,marital,education,balance,housing,loan,month,date,duration,deposit,lead,product,qualified ,contacted,won ,loanvalue,NPS
10023467,41-60,58,management,married,tertiary,2143,yes,yes,january,1/1/2018,261,71.96,1,auto ,1,1,1,2453,10
10023468,41-60,44,technician,single,secondary,29,yes,no,february,2/1/2018,151,2.2,1,auto ,1,1,1,2586,10
10023469,31-40,33,entrepreneur,married,secondary,2,yes,no,march,3/1/2018,76,15.84,1,auto ,1,1,0,6530,
10023470,41-60,47,blue-collar,married,,1506,yes,yes,april,4/1/2018,92,11.2,1,auto ,1,1,0,2476,
10023471,31-40,33,,single,,1,no,no,may,5/1/2018,198,4.39,1,auto ,1,1,0,4384,
10023472,31-40,35,management,married,tertiary,231,yes,yes,june,6/1/2018,139,92.76,1,auto ,1,1,0,4080,
10023473,18-30,28,management,single,tertiary,447,yes,no,july,7/1/2018,217,8.63,1,auto ,1,1,0,2127,
10023474,41-60,42,entrepreneur,divorced,tertiary,2,yes,yes,august,8/1/2018,380,4.49,1,auto ,1,1,0,5699,
10023475,41-60,58,retired,married,primary,121,yes,yes,september,9/1/2018,50,77.33,1,auto ,1,1,0,3237,
10023476,41-60,43,technician,single,secondary,593,yes,no,october,10/1/2018,55,115.51,1,auto ,1,1,0,2558,
10023477,41-60,41,admin.,divorced,secondary,270,yes,no,november,11/1/2018,222,93.67,1,auto ,1,1,0,2298,
10023478,18-30,29,admin.,single,secondary,390,yes,no,december,12/1/2018,137,13.96,1,auto ,1,1,0,3397,
10023479,41-60,53,technician,married,secondary,6,yes,yes,january,1/1/2018,517,5.96,1,auto ,1,1,0,2106,
10023480,41-60,58,technician,married,,71,yes,yes,february,2/1/2018,71,30.96,0,no product,0,0,0,2877,
10023481,41-60,57,services,married,secondary,162,yes,yes,march,3/1/2018,174,55.6,0,no product,0,0,0,2226,
10023482,41-60,51,retired,married,primary,229,yes,yes,april,4/1/2018,353,15.75,0,no product,0,0,0,2880,
10023483,41-60,45,admin.,single,,13,yes,no,may,5/1/2018,98,7.51,0,no product,0,0,0,2434,
10023484,41-60,57,blue-collar,married,primary,52,yes,yes,june,6/1/2018,38,16.12,0,no product,0,0,0,4246,
10023485,41-60,60,retired,married,primary,60,yes,yes,july,7/1/2018,219,0,0,no product,0,0,0,3047,
10023486,31-40,33,services,married,secondary,0,yes,no,august,8/1/2018,54,0,0,no product,0,0,0,2303,
10023487,18-30,28,blue-collar,married,secondary,723,yes,no,september,9/1/2018,262,216.64,0,no product,0,0,0,3659,
10023488,41-60,56,management,married,tertiary,779,yes,yes,october,10/1/2018,164,38.64,0,no product,0,0,0,2100,
10023489,31-40,32,blue-collar,single,primary,23,yes,no,november,11/1/2018,160,9.79,1,mortgage,1,1,0,7624,
10023490,18-30,25,services,married,secondary,50,yes,no,december,12/1/2018,342,0,1,mortgage,1,1,0,8694,
10023491,31-40,40,retired,married,primary,0,yes,no,january,1/1/2018,181,,0,no product,0,0,0,,
10023492,41-60,44,admin.,married,secondary,-372,yes,yes,february,2/1/2018,172,,0,no product,0,0,0,,
10023493,31-40,39,management,single,tertiary,255,yes,no,march,3/1/2018,296,49,0,no product,0,0,0,,
10023494,41-60,52,entrepreneur,married,secondary,113,yes,yes,april,4/1/2018,127,,0,no product,0,0,0,,
10023495,41-60,46,management,single,secondary,-246,yes,no,may,5/1/2018,255,,0,no product,0,0,0,,
10023496,31-40,36,technician,single,secondary,265,yes,no,june,6/1/2018,348,136.12,1,mortgage,1,,0,4357,
10023497,41-60,57,technician,married,secondary,839,no,yes,july,7/1/2018,225,162.57,1,mortgage,1,,0,6895,
10023498,41-60,49,management,married,tertiary,378,yes,yes,august,8/1/2018,230,35.05,1,mortgage,1,,0,7632,
10023499,41-60,60,admin.,married,secondary,39,yes,yes,september,9/1/2018,208,0,1,mortgage,1,,0,9753,
10023500,41-60,59,blue-collar,married,secondary,0,yes,yes,october,10/1/2018,226,0,1,mortgage,1,,0,2257,
10023501,41-60,51,management,married,tertiary,10635,yes,yes,november,11/1/2018,336,236.29,1,mortgage,1,1,0,12353,
10023502,41-60,57,technician,divorced,secondary,63,yes,no,december,12/1/2018,242,,1,mortgage,1,1,0,2356,
10023503,18-30,25,blue-collar,married,secondary,-7,yes,no,january,1/1/2018,365,,1,mortgage,1,1,0,7654,
10023504,41-60,53,technician,married,secondary,-3,no,yes,february,2/1/2018,1666,,1,mortgage,1,1,0,7854,
10023505,31-40,36,admin.,divorced,secondary,506,yes,no,march,3/1/2018,577,0,1,unsecured ,1,1,0,2458,
10023506,31-40,37,admin.,single,secondary,0,yes,no,april,4/1/2018,137,0,1,unsecured ,1,1,0,2893,
