"","RefNum","agerange","age","job","marital","education","balance","housing","loan","month","date","duration","deposit","lead","product","qualified","contacted","won","loanvalue"
"1",10023467,"41-60",58,"management","married","tertiary",2143,"yes","yes","january",2018-01-01,261,71.96,1,"auto ",1,1,1,2453
"2",10023468,"41-60",44,"technician","single","secondary",29,"yes","no","february",2018-02-01,151,2.2,1,"auto ",1,1,1,2586
"3",10023469,"31-40",33,"entrepreneur","married","secondary",2,"yes","no","march",2018-03-01,76,15.84,1,"auto ",1,1,0,6530
"6",10023472,"31-40",35,"management","married","tertiary",231,"yes","yes","june",2018-06-01,139,92.76,1,"auto ",1,1,0,4080
"7",10023473,"18-30",28,"management","single","tertiary",447,"yes","no","july",2018-07-01,217,8.63,1,"auto ",1,1,0,2127
"8",10023474,"41-60",42,"entrepreneur","divorced","tertiary",2,"yes","yes","august",2018-08-01,380,4.49,1,"auto ",1,1,0,5699
"9",10023475,"41-60",58,"retired","married","primary",121,"yes","yes","september",2018-09-01,50,77.33,1,"auto ",1,1,0,3237
"10",10023476,"41-60",43,"technician","single","secondary",593,"yes","no","october",2018-10-01,55,115.51,1,"auto ",1,1,0,2558
"11",10023477,"41-60",41,"admin.","divorced","secondary",270,"yes","no","november",2018-11-01,222,93.67,1,"auto ",1,1,0,2298
"12",10023478,"18-30",29,"admin.","single","secondary",390,"yes","no","december",2018-12-01,137,13.96,1,"auto ",1,1,0,3397
"13",10023479,"41-60",53,"technician","married","secondary",6,"yes","yes","january",2018-01-01,517,5.96,1,"auto ",1,1,0,2106
"15",10023481,"41-60",57,"services","married","secondary",162,"yes","yes","march",2018-03-01,174,55.6,0,"no product",0,0,0,2226
"16",10023482,"41-60",51,"retired","married","primary",229,"yes","yes","april",2018-04-01,353,15.75,0,"no product",0,0,0,2880
"18",10023484,"41-60",57,"blue-collar","married","primary",52,"yes","yes","june",2018-06-01,38,16.12,0,"no product",0,0,0,4246
