"","non-missing","missing","missing percent","unique","mean","min","p1","p5","p10","p25","p50","p75","p90","p95","p99","max"
"RefNum",1123,2,0.18,1124,10024028,10023467,10023478.22,10023523.1,10023579.2,10023747.5,10024028,10024308.5,10024476.8,10024532.9,10024577.78,10024589
"age",1123,2,0.18,41,42.46,22,25.22,29,31,35,42,50,56,58,60,61
"balance",1123,2,0.18,678,567.33,-932,-370.68,-105.7,0,23,167,446,1181.8,1919.9,6399.1,58544
"duration",1123,2,0.18,490,270.52,2,21.22,55,82,130,203,315.5,517.8,698.1,1514.62,2177
"deposit",929,196,17.42,758,93.71,0,0,0,0,12.25,52,111.2,211.6,295.65,760.58,2458.72
"lead",1123,2,0.18,3,0.69,0,0,0,0,0,1,1,1,1,1,1
"qualified",1123,2,0.18,3,0.61,0,0,0,0,0,1,1,1,1,1,1
"contacted",893,232,20.62,3,0.61,0,0,0,0,0,1,1,1,1,1,1
"won",1123,2,0.18,3,0.44,0,0,0,0,0,0,1,1,1,1,1
"loanvalue",934,191,16.98,60,5881.43,1526,2106,2226,2298,2586,6530,7854,9764,9765,12353,12353
"NPS",497,628,55.82,7,8.97,3,3,6,8,8,9,10,10,10,10,10
